TAG;MODULE;PLANTGROUP;NPS_IN;DESIGN_MAX_PRESS_BAR;DESIGN_MIN_TEMP_NORM;OPER_NORM_TEMP_NORM;DESIGN_MAX_TEMP_NORM;TYPE_NORM;VALVE_APP_NORM;FLUID_CODE_NORM;CLUSTER_KMEANS;CLUSTER_DBSCAN
VALV-54230354;M-13;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230355;M-13;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230356;M-13;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230357;M-13;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230358;M-13;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230359;M-13;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230360;M-13;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230361;M-09;5423;4;18,01325;21;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230362;M-09;5423;4;18,01325;21;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230363;M-09;5423;4;18,01325;21;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230364;M-09;5423;4;18,01325;21;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230365;M-09;5423;4;18,01325;21;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230366;M-09;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230367;M-09;5423;4;18,01325;21;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230368;M-09;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230369;M-09;5423;4;18,01325;21;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230370;MAIN DECK;5423;8;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54230371;M-09;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230372;M-09;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230373;M-09;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230374;M-09;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230375;M-09;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230376;M-09;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230377;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230378;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230379;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230380;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230381;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230382;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230383;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230384;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230385;MAIN DECK;5423;2;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230386;MAIN DECK;5423;2;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230387;MAIN DECK;5423;8;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54230388;MAIN DECK;5423;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;4;0
VALV-54230389;MAIN DECK;5423;10;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54230390;MAIN DECK;5423;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;4;0
VALV-54230391;MAIN DECK;5423;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;4;0
VALV-54230392;MAIN DECK;5423;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;4;0
VALV-54230393;MAIN DECK;5423;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;4;0
VALV-54230394;MAIN DECK;5423;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;4;0
VALV-54230395;MAIN DECK;5423;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;4;0
VALV-54230396;MAIN DECK;5423;6;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;4;0
VALV-54230397;MAIN DECK;5423;8;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54230398;MAIN DECK;5423;10;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54230399;MAIN DECK;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230400;MAIN DECK;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230401;MAIN DECK;5423;2;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230402;MAIN DECK;5423;2;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54235001;ENGINE ROOM;5423;1,5;18,01325;0;27;57;BALL;INSTRUMENT BLOCK;FW;4;0
VALV-54235002;ENGINE ROOM;5423;1,5;18,01325;0;27;57;BALL;INSTRUMENT BLOCK;FW;4;0
VALV-54235005;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;INSTRUMENT BLOCK;FW;4;0
VALV-54235006;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;INSTRUMENT BLOCK;FW;4;0
VALV-54235007;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;INSTRUMENT BLOCK;FW;4;0
VALV-54235008;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;INSTRUMENT BLOCK;FW;4;0
VALV-54235017;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;INSTRUMENT BLOCK;FW;4;0
VALV-54235019;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;DRAIN/UTILITY;FW;4;0
VALV-54235043;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;DRAIN/UTILITY;FW;4;0
VALV-54235045;LIFEBOAT PLATFORM;5423;20;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54235046;LIFEBOAT PLATFORM;5423;1,5;18,01325;0;27;57;BALL;DRAIN/UTILITY;FW;4;0
VALV-54235047;LIFEBOAT PLATFORM;5423;12;18,01325;0;27;57;BUTTERFLY (CONCENTRIC);PSV BLOCK OUTLET;FW;1;-1
VALV-54235048;LIFEBOAT PLATFORM;5423;10;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);PSV BLOCK INLET;FW;1;0
VALV-54235049;LIFEBOAT PLATFORM;5423;10;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);PSV BLOCK INLET;FW;1;0
VALV-54235050;LIFEBOAT PLATFORM;5423;10;18,01325;0;27;57;BALL;PSV BLOCK INLET;FW;1;0
VALV-54235051;LIFEBOAT PLATFORM;5423;20;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
