TAG,PC1,PC2,CLUSTER_KMEANS,CLUSTER_DBSCAN,TYPE_NORM,VALVE_APP_NORM,FLUID_CODE_NORM
VALV-12250087,2.503624394598923,1.0446292885983197,2.0,0,BALL,DRAIN/UTILITY,F
VALV-12250092,1.9087567943094188,2.385692826300486,2.0,0,CHECK,CHECK,PC
VALV-12250093,-0.857888538249287,0.13088294508562962,4.0,0,BALL,OTHER BLOCK,PC
VALV-12250094,-0.857888538249287,0.13088294508562962,4.0,0,BALL,OTHER BLOCK,PC
VALV-12250095,-0.643791415843014,-0.4747460364754071,4.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250096,-0.643791415843014,-0.4747460364754071,4.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250097,-0.857888538249287,0.13088294508562962,4.0,0,GLOBE,MANUAL CONTROL,PC
VALV-12250102,2.010121895937295,0.7248127058256681,2.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250104,1.9565976153357265,0.8762199512159272,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250106,1.9565976153357265,0.8762199512159272,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250107,1.9137781908544718,0.9973457475281345,2.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250110,-0.8305767517366804,1.0124985856097004,1.0,0,CHECK,CHECK,W
VALV-12250111,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12250112,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12250113,-0.5308407803678983,0.16461801142424903,4.0,0,BALL,DRAIN/UTILITY,W
VALV-12250124,3.6447798598100034,-1.1575459017396448,2.0,0,BALL,DRAIN/UTILITY,F
VALV-12250129,2.336951039121965,1.1744348631784127,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250147,-0.4716107791679018,-0.18480513034805074,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250148,-0.4716107791679018,-0.18480513034805074,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250149,-0.4716107791679018,-0.18480513034805074,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250150,2.336951039121965,1.1744348631784127,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250151,2.336951039121965,1.1744348631784127,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250152,1.9087567943094188,2.385692826300486,2.0,0,CHECK,CHECK,PC
VALV-12250154,0.4595911293646174,0.2521041746476865,4.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12250156,0.6843931078912041,-0.3838062559914021,4.0,0,BALL,DRAIN/UTILITY,F
VALV-12250161,2.1656733411969467,1.658938048427242,2.0,0,CHECK,CHECK,PC
VALV-12250164,2.336951039121965,1.1744348631784127,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250165,2.2941316146407105,1.2955606594906202,2.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250166,2.336951039121965,1.1744348631784127,2.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250167,-0.08960620349017058,0.0013822996519798551,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250168,-0.13242562797142515,0.12250809596418712,4.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250172,-0.5308407803678983,0.16461801142424903,4.0,0,BALL,DRAIN/UTILITY,W
VALV-12250173,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12250174,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12250185,2.6786934181060538,-1.41317594762939,2.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12250187,2.8178565476701314,-1.8068347856440639,2.0,0,BALL,DRAIN/UTILITY,F
VALV-12250193,0.502890721382644,-1.1828704348459465,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250197,0.06276576664492492,-0.1334316759324623,4.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250198,0.06276576664492492,-0.1334316759324623,4.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250200,-0.033577938437897914,0.13910136577000415,4.0,0,BALL,DRAIN/UTILITY,PC
VALV-12250207,-0.08960620349017058,0.0013822996519798551,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250215,-0.08960620349017058,0.0013822996519798551,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12250216,-0.08960620349017058,0.0013822996519798551,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
